transaction_id,invoice_id,customer_id,customer_name,store_id,erp_transaction_date,erp_amount,gateway_transaction_id,gateway,payment_transaction_date,payment_amount,payment_difference,bank_transaction_date,bank_amount,bank_difference,bank_status,date_difference_days,entity_match_score,entity_match_confidence,reconciliation_status,amount_z_score,amount_z_anomaly,amount_iqr_anomaly,isolation_forest_anomaly,isolation_forest_score,anomaly_methods_triggered,potential_anomaly,anomaly_status,known_exception,investigation_priority
TX0000001,INV0000001,CUST009416,Aditya Gupta,STORE109,2026-08-15 00:00:00,47970.28,PG80335957,Gateway_A,2026-08-15 00:00:00,47970.28,0.0,2026-08-16 00:00:00,47970.28,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,-0.1731885904566227,False,False,False,0.12172769422710134,0,False,NORMAL_RANGE,False,NORMAL
TX0000002,INV0000002,CUST003473,Nikhil Rao,STORE221,2026-08-20 00:00:00,95008.86,PG32702285,Gateway_A,2026-08-20 00:00:00,95008.86,0.0,2026-08-21 00:00:00,95008.86,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,1.351885334436159,False,False,False,0.09454454770115017,0,False,NORMAL_RANGE,False,NORMAL
TX0000003,INV0000003,CUST004133,Meera Iyer,STORE083,2026-08-13 00:00:00,9070.44,PG20647854,Gateway_B,2026-08-13 00:00:00,9070.44,0.0,2026-08-14 00:00:00,9070.44,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,-1.4343901757617321,False,False,False,0.08117785121714871,0,False,NORMAL_RANGE,False,NORMAL
TX0000004,INV0000004,CUST001910,Ananya Singh,STORE229,2026-08-10 00:00:00,92778.8,PG58530835,Gateway_B,2026-08-10 00:00:00,92778.8,0.0,2026-08-12 00:00:00,92778.8,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,1.2795828466283554,False,False,False,0.10327513174566288,0,False,NORMAL_RANGE,False,NORMAL
TX0000005,INV0000005,CUST007433,Vikram Kumar,STORE135,2026-08-15 00:00:00,20380.22,PG85200406,Gateway_A,2026-08-15 00:00:00,20380.22,0.0,2026-08-15 00:00:00,20380.22,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,-1.0677071131719627,False,False,False,0.11108047453850312,0,False,NORMAL_RANGE,False,NORMAL
TX0000006,INV0000006,CUST000359,Meera Iyer,STORE047,2026-08-10 00:00:00,50865.4,PG52522601,Gateway_A,2026-08-10 00:00:00,50865.4,0.0,2026-08-10 00:00:00,50865.4,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,-0.07932368166397644,False,False,False,0.12025472963388678,0,False,NORMAL_RANGE,False,NORMAL
TX0000007,INV0000007,CUST008308,Vikram Nair,STORE201,2026-08-31 00:00:00,41233.76,PG60726554,Gateway_B,2026-08-31 00:00:00,41233.76,0.0,2026-09-01 00:00:00,41233.76,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,-0.39159847860628016,False,False,False,0.11884087808977906,0,False,NORMAL_RANGE,False,NORMAL
TX0000008,INV0000008,CUST009103,Priya Singh,STORE219,2026-08-25 00:00:00,79613.35,PG64226713,Gateway_C,2026-08-25 00:00:00,79613.35,0.0,2026-08-26 00:00:00,79613.35,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,0.8527356819290879,False,False,False,0.11837903182983534,0,False,NORMAL_RANGE,False,NORMAL
TX0000009,INV0000009,CUST003466,Pooja Kapoor,STORE081,2026-08-15 00:00:00,58439.5,PG20425252,Gateway_B,2026-08-15 00:00:00,51811.84,6627.66,2026-08-15 00:00:00,58439.5,-6627.66,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,PARTIAL_PAYMENT,0.1662420308751864,False,False,True,-0.09042521399901482,1,True,POTENTIAL_ANOMALY,True,HIGH
TX0000010,INV0000010,CUST008003,Ananya Singh,STORE143,2026-08-31 00:00:00,84423.98,PG41089306,Gateway_C,2026-08-31 00:00:00,84423.98,0.0,2026-09-02 00:00:00,84423.98,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED,1.0087048114246413,False,False,False,0.11041017192808156,0,False,NORMAL_RANGE,False,NORMAL
