transaction_id,gateway_transaction_id,erp_customer_id,erp_customer_name,payment_customer_name,entity_match_score,entity_match_confidence,erp_amount,payment_amount
TX0000001,PG80335957,CUST009416,Aditya Gupta,Aditya Gupta,100.0,HIGH_CONFIDENCE,47970.28,47970.28
TX0000002,PG32702285,CUST003473,Nikhil Rao,Nikhil Rao,100.0,HIGH_CONFIDENCE,95008.86,95008.86
TX0000003,PG20647854,CUST004133,Meera Iyer,Meera Iyer,100.0,HIGH_CONFIDENCE,9070.44,9070.44
TX0000004,PG58530835,CUST001910,Ananya Singh,Ananya Singh,100.0,HIGH_CONFIDENCE,92778.8,92778.8
TX0000005,PG85200406,CUST007433,Vikram Kumar,Vikram Kumar,100.0,HIGH_CONFIDENCE,20380.22,20380.22
TX0000006,PG52522601,CUST000359,Meera Iyer,Meera Iyer,100.0,HIGH_CONFIDENCE,50865.4,50865.4
TX0000007,PG60726554,CUST008308,Vikram Nair,Vikram Nair,100.0,HIGH_CONFIDENCE,41233.76,41233.76
TX0000008,PG64226713,CUST009103,Priya Singh,Priya Singh,100.0,HIGH_CONFIDENCE,79613.35,79613.35
TX0000009,PG20425252,CUST003466,Pooja Kapoor,Pooja Kapoor,80.0,MEDIUM_CONFIDENCE,58439.5,51811.84
TX0000010,PG41089306,CUST008003,Ananya Singh,Ananya Singh,100.0,HIGH_CONFIDENCE,84423.98,84423.98
TX0000011,PG79885451,CUST002837,Nikhil Das,Nikhil Das,100.0,HIGH_CONFIDENCE,63503.09,63503.09
TX0000012,PG20108719,CUST002986,Nikhil Singh,Nikhil  Singh,100.0,HIGH_CONFIDENCE,38090.0,38090.0
TX0000013,PG90469798,CUST002083,Rohan Joshi,Rohan Joshi,100.0,HIGH_CONFIDENCE,34621.38,34621.38
TX0000014,PG45305453,CUST004942,Kavya Nair,Kavya Nair,100.0,HIGH_CONFIDENCE,99573.68,99573.68
TX0000015,PG81924338,CUST008405,Priya Reddy,Priya Reddy,100.0,HIGH_CONFIDENCE,76274.22,76274.22
TX0000016,PG98810853,CUST001043,Karan Rao,KARAN RAO,100.0,HIGH_CONFIDENCE,59880.64,59880.64
TX0000017,PG68092443,CUST002294,Pooja Mishra,Pooja Mishra,100.0,HIGH_CONFIDENCE,82858.74,82858.74
TX0000018,PG83134661,CUST006089,Nikhil Verma,Nikhil Verma,100.0,HIGH_CONFIDENCE,46071.1,46071.1
TX0000019,PG78407847,CUST004939,Amit Reddy,Amit Reddy,100.0,HIGH_CONFIDENCE,71020.67,71020.67
TX0000020,PG41523412,CUST001230,Ananya Kapoor,Ananya Kapoor,100.0,HIGH_CONFIDENCE,108459.91,108459.91
