transaction_id,invoice_id,customer_id,customer_name,store_id,erp_transaction_date,erp_amount,gateway_transaction_id,gateway,payment_transaction_date,payment_amount,payment_difference,bank_transaction_date,bank_amount,bank_difference,bank_status,date_difference_days,entity_match_score,entity_match_confidence,reconciliation_status
TX0000001,INV0000001,CUST009416,Aditya Gupta,STORE109,2026-08-15 00:00:00,47970.28,PG80335957,Gateway_A,2026-08-15 00:00:00,47970.28,0.0,2026-08-16 00:00:00,47970.28,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000002,INV0000002,CUST003473,Nikhil Rao,STORE221,2026-08-20 00:00:00,95008.86,PG32702285,Gateway_A,2026-08-20 00:00:00,95008.86,0.0,2026-08-21 00:00:00,95008.86,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000003,INV0000003,CUST004133,Meera Iyer,STORE083,2026-08-13 00:00:00,9070.44,PG20647854,Gateway_B,2026-08-13 00:00:00,9070.44,0.0,2026-08-14 00:00:00,9070.44,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000004,INV0000004,CUST001910,Ananya Singh,STORE229,2026-08-10 00:00:00,92778.8,PG58530835,Gateway_B,2026-08-10 00:00:00,92778.8,0.0,2026-08-12 00:00:00,92778.8,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000005,INV0000005,CUST007433,Vikram Kumar,STORE135,2026-08-15 00:00:00,20380.22,PG85200406,Gateway_A,2026-08-15 00:00:00,20380.22,0.0,2026-08-15 00:00:00,20380.22,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000006,INV0000006,CUST000359,Meera Iyer,STORE047,2026-08-10 00:00:00,50865.4,PG52522601,Gateway_A,2026-08-10 00:00:00,50865.4,0.0,2026-08-10 00:00:00,50865.4,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000007,INV0000007,CUST008308,Vikram Nair,STORE201,2026-08-31 00:00:00,41233.76,PG60726554,Gateway_B,2026-08-31 00:00:00,41233.76,0.0,2026-09-01 00:00:00,41233.76,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000008,INV0000008,CUST009103,Priya Singh,STORE219,2026-08-25 00:00:00,79613.35,PG64226713,Gateway_C,2026-08-25 00:00:00,79613.35,0.0,2026-08-26 00:00:00,79613.35,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000009,INV0000009,CUST003466,Pooja Kapoor,STORE081,2026-08-15 00:00:00,58439.5,PG20425252,Gateway_B,2026-08-15 00:00:00,51811.84,6627.66,2026-08-15 00:00:00,58439.5,-6627.66,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,PARTIAL_PAYMENT
TX0000010,INV0000010,CUST008003,Ananya Singh,STORE143,2026-08-31 00:00:00,84423.98,PG41089306,Gateway_C,2026-08-31 00:00:00,84423.98,0.0,2026-09-02 00:00:00,84423.98,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000011,INV0000011,CUST002837,Nikhil Das,STORE070,2026-08-14 00:00:00,63503.09,PG79885451,Gateway_B,2026-08-14 00:00:00,63503.09,0.0,2026-08-15 00:00:00,63503.09,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000012,INV0000012,CUST002986,Nikhil Singh,STORE080,2026-08-21 00:00:00,38090.0,PG20108719,Gateway_C,2026-08-21 00:00:00,38090.0,0.0,2026-08-21 00:00:00,38090.0,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000013,INV0000013,CUST002083,Rohan Joshi,STORE233,2026-08-15 00:00:00,34621.38,PG90469798,Gateway_A,2026-08-15 00:00:00,34621.38,0.0,2026-08-15 00:00:00,34621.38,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000014,INV0000014,CUST004942,Kavya Nair,STORE096,2026-08-08 00:00:00,99573.68,PG45305453,Gateway_B,2026-08-08 00:00:00,99573.68,0.0,2026-08-08 00:00:00,99573.68,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000015,INV0000015,CUST008405,Priya Reddy,STORE176,2026-08-14 00:00:00,76274.22,PG81924338,Gateway_A,2026-08-16 00:00:00,76274.22,0.0,2026-08-14 00:00:00,76274.22,0.0,SETTLED,2.0,100.0,HIGH_CONFIDENCE,DATE_MISMATCH
TX0000016,INV0000016,CUST001043,Karan Rao,STORE080,2026-08-26 00:00:00,59880.64,PG98810853,Gateway_A,2026-08-26 00:00:00,59880.64,0.0,2026-08-26 00:00:00,59880.64,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000017,INV0000017,CUST002294,Pooja Mishra,STORE192,2026-08-27 00:00:00,82858.74,PG68092443,Gateway_C,2026-08-27 00:00:00,82858.74,0.0,2026-08-27 00:00:00,82858.74,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
