customer_id,customer_name,exception_count,financial_exposure
CUST004330,Nikhil Kumar,6,3665.64
CUST007607,Sneha Joshi,5,26675.74
CUST001568,Kavya Reddy,5,23971.44
CUST006483,Ananya Rao,5,18941.07
CUST008693,Rahul Reddy,5,14505.43
CUST000243,Amit Nair,5,0.0
CUST000649,Aditya Iyer,4,68763.58
CUST004766,Rahul Nair,4,42754.649999999994
CUST001845,Aditya Reddy,4,33404.25
CUST002211,Aditya Das,4,27268.28
CUST008740,Pooja Gupta,4,23442.62
CUST006610,Arjun Sharma,4,17896.39
CUST000170,Priya Singh,4,17413.36
CUST004040,Ananya Mishra,4,16798.53
CUST005240,Arjun Sharma,4,12694.4
CUST001270,Aditya Reddy,4,11847.4
CUST009027,Priya Reddy,4,10365.26
CUST000463,Rohan Kapoor,4,8413.189999999999
CUST004550,Rohan Reddy,4,7319.68
CUST005969,Nikhil Sharma,4,5151.99
CUST008389,Vikram Joshi,4,4547.37
CUST003411,Priya Joshi,4,0.0
CUST003463,Amit Verma,4,0.0
CUST003848,Amit Mishra,4,0.0
CUST004215,Rohan Kumar,4,0.0
CUST005419,Ananya Patel,4,0.0
CUST005550,Priya Nair,4,0.0
CUST005619,Meera Kapoor,4,0.0
CUST008075,Priya Verma,4,0.0
CUST008766,Sneha Mehta,4,0.0
CUST000681,Meera Gupta,3,56185.369999999995
CUST005223,Karan Iyer,3,41575.38
CUST008214,Neha Singh,3,38747.29
CUST009737,Nikhil Joshi,3,36985.66
CUST003195,Sneha Nair,3,36881.51
CUST004244,Aditya Reddy,3,35036.04
CUST001307,Karan Joshi,3,33404.76
CUST003206,Neha Nair,3,32824.79
CUST008704,Aditya Singh,3,30509.71
CUST003346,Meera Rao,3,29594.58
CUST005990,Pooja Nair,3,28889.0
CUST008875,Kavya Rao,3,24843.6
CUST001608,Sneha Kumar,3,24668.17
CUST007695,Rahul Rao,3,24302.56
CUST009072,Vikram Verma,3,23301.05
CUST003683,Amit Das,3,23013.42
CUST001815,Nikhil Mishra,3,22689.14
CUST009752,Karan Gupta,3,21495.36
CUST009085,Kavya Rao,3,19095.85
CUST002900,Meera Iyer,3,18275.45
CUST004038,Amit Joshi,3,18232.96
CUST005603,Vikram Sharma,3,17041.29
CUST005469,Nikhil Reddy,3,16220.34
CUST002003,Ananya Mishra,3,15058.18
CUST008668,Pooja Sharma,3,14833.9
CUST002896,Meera Singh,3,14727.33
CUST001021,Arjun Singh,3,14545.38
CUST004850,Rahul Kumar,3,13242.78
CUST001459,Meera Das,3,12677.44
CUST003499,Meera Iyer,3,12652.49
CUST007908,Karan Mehta,3,12551.38
CUST001652,Priya Rao,3,12522.18
CUST005004,Kavya Nair,3,12179.57
CUST007831,Meera Patel,3,12069.26
CUST007280,Neha Iyer,3,11699.64
CUST002330,Karan Gupta,3,11611.93
CUST002975,Pooja Joshi,3,11179.34
CUST002151,Aditya Das,3,10940.43
CUST008507,Rahul Kumar,3,10932.33
CUST004575,Kavya Nair,3,10577.55
CUST000607,Meera Mishra,3,10382.85
CUST006640,Rahul Kapoor,3,10343.59
CUST005146,Neha Reddy,3,10108.28
CUST000493,Amit Kapoor,3,9878.17
CUST005933,Priya Mishra,3,9491.48
CUST008227,Kavya Kumar,3,9261.86
CUST005053,Amit Sharma,3,9024.06
