bank_transaction_id,transaction_date,value_date,narration,credit_amount,debit_amount,reference_number
BNK95307416,2026-08-15,2026-08-16,Aditya Gupta PG80335957,47970.28,0.0,PG80335957
BNK99270642,2026-08-20,2026-08-21,Nikhil Rao PG32702285,95008.86,0.0,PG32702285
BNK18839451,2026-08-13,2026-08-14,Meera Iyer PG20647854,9070.44,0.0,PG20647854
BNK62151240,2026-08-10,2026-08-12,Ananya Singh PG58530835,92778.8,0.0,PG58530835
BNK40496478,2026-08-15,2026-08-15,Vikram Kumar PG85200406,20380.22,0.0,PG85200406
BNK16588939,2026-08-10,2026-08-10,Meera Iyer PG52522601,50865.4,0.0,PG52522601
BNK43455937,2026-08-31,2026-09-01,Vikram Nair PG60726554,41233.76,0.0,PG60726554
BNK22104508,2026-08-25,2026-08-26,Priya Singh PG64226713,79613.35,0.0,PG64226713
BNK28275365,2026-08-15,2026-08-15,Pooja Kapoor PG20425252,58439.5,0.0,PG20425252
BNK96598205,2026-08-31,2026-09-02,Ananya Singh PG41089306,84423.98,0.0,PG41089306
BNK18830583,2026-08-14,2026-08-15,Nikhil Das PG79885451,63503.09,0.0,PG79885451
BNK27441030,2026-08-21,2026-08-21,Nikhil Singh PG20108719,38090.0,0.0,PG20108719
BNK55101020,2026-08-15,2026-08-15,Rohan Joshi PG90469798,34621.38,0.0,PG90469798
BNK39031321,2026-08-08,2026-08-08,Kavya Nair PG45305453,99573.68,0.0,PG45305453
BNK15849279,2026-08-14,2026-08-14,Priya Reddy PG81924338,76274.22,0.0,PG81924338
BNK95107278,2026-08-26,2026-08-26,Karan Rao PG98810853,59880.64,0.0,PG98810853
BNK91340349,2026-08-27,2026-08-27,Pooja Mishra PG68092443,82858.74,0.0,PG68092443
BNK54938530,2026-08-17,2026-08-17,Nikhil Verma PG83134661,46071.1,0.0,PG83134661
BNK98201048,2026-08-08,2026-08-09,Amit Reddy PG78407847,71020.67,0.0,PG78407847
BNK73791477,2026-08-10,2026-08-11,Ananya Kapoor PG41523412,108459.91,0.0,PG41523412
BNK57159026,2026-08-22,2026-08-22,Rohan Gupta PG57566786,61128.98,0.0,PG57566786
BNK37434743,2026-08-21,2026-08-22,Pooja Joshi PG18254256,32072.81,0.0,PG18254256
BNK84301090,2026-08-30,2026-08-30,Amit Kumar PG89809790,52745.44,0.0,PG89809790
BNK42840105,2026-08-29,2026-08-30,Meera Reddy PG11774510,91489.32,0.0,PG11774510
BNK32161629,2026-08-11,2026-08-11,Priya Mishra PG25357455,55881.2,0.0,PG25357455
BNK78587163,2026-08-10,2026-08-12,Karan Kapoor PG81710775,9431.78,0.0,PG81710775
BNK71152858,2026-08-09,2026-08-11,Ananya Reddy PG63925308,44853.15,0.0,PG63925308
BNK80792775,2026-08-28,2026-08-29,Nikhil Sharma PG84142785,4356.47,0.0,PG84142785
BNK31807352,2026-08-29,2026-08-31,Arjun Mehta PG28342551,19966.98,0.0,PG28342551
