gateway_transaction_id,merchant_reference,customer_name,email,transaction_date,amount,payment_status,gateway
PG80335957,TX0000001,Aditya Gupta,aditya.gupta734@gmail.com,2026-08-15,47970.28,FAILED,Gateway_A
PG32702285,TX0000002,Nikhil Rao,nikhil.rao642@gmail.com,2026-08-20,95008.86,SUCCESS,Gateway_A
PG20647854,TX0000003,Meera Iyer,meera.iyer750@yahoo.com,2026-08-13,9070.44,SUCCESS,Gateway_B
PG58530835,TX0000004,Ananya Singh,ananya.singh615@gmail.com,2026-08-10,92778.8,SUCCESS,Gateway_B
PG85200406,TX0000005,Vikram Kumar,vikram.kumar147@outlook.com,2026-08-15,20380.22,SUCCESS,Gateway_A
PG52522601,TX0000006,Meera Iyer,meera.iyer134@hotmail.com,2026-08-10,50865.4,SUCCESS,Gateway_A
PG60726554,TX0000007,Vikram Nair,vikram.nair261@hotmail.com,2026-08-31,41233.76,SUCCESS,Gateway_B
PG64226713,TX0000008,Priya Singh,priya.singh89@hotmail.com,2026-08-25,79613.35,SUCCESS,Gateway_C
PG20425252,TX0000009,Pooja Kapoor,pooja.kapoor753@outlook.com,2026-08-15,51811.84,SUCCESS,Gateway_B
PG41089306,TX0000010,Ananya Singh,ananya.singh440@hotmail.com,2026-08-31,84423.98,FAILED,Gateway_C
PG79885451,TX0000011,Nikhil Das,nikhil.das4@yahoo.com,2026-08-14,63503.09,SUCCESS,Gateway_B
PG20108719,TX0000012,Nikhil  Singh,nikhil.singh554@yahoo.com,2026-08-21,38090.0,SUCCESS,Gateway_C
PG90469798,TX0000013,Rohan Joshi,rohan.joshi503@gmail.com,2026-08-15,34621.38,FAILED,Gateway_A
PG45305453,TX0000014,Kavya Nair,kavya.nair851@gmail.com,2026-08-08,99573.68,SUCCESS,Gateway_B
PG81924338,TX0000015,Priya Reddy,priya.reddy340@yahoo.com,2026-08-16,76274.22,SUCCESS,Gateway_A
PG98810853,TX0000016,KARAN RAO,karan.rao700@hotmail.com,2026-08-26,59880.64,SUCCESS,Gateway_A
PG68092443,TX0000017,Pooja Mishra,pooja.mishra792@hotmail.com,2026-08-27,82858.74,SUCCESS,Gateway_C
PG83134661,TX0000018,Nikhil Verma,nikhil.verma630@outlook.com,2026-08-17,46071.1,FAILED,Gateway_C
PG78407847,TX0000019,Amit Reddy,amit.reddy521@gmail.com,2026-08-08,71020.67,SUCCESS,Gateway_B
PG41523412,TX0000020,Ananya Kapoor,ananya.kapoor399@outlook.com,2026-08-10,108459.91,SUCCESS,Gateway_C
PG57566786,TX0000021,Rohan Gupta,rohan.gupta408@gmail.com,2026-08-22,62791.25,SUCCESS,Gateway_C
PG18254256,TX0000022,Joshi Pooja,pooja.joshi346@hotmail.com,2026-08-21,32072.81,SUCCESS,Gateway_C
PG89809790,TX0000023,Amit Kumar,amit.kumar740@outlook.com,2026-08-30,52745.44,FAILED,Gateway_C
PG11774510,TX0000024,Meera Reddy,meera.reddy969@yahoo.com,2026-08-29,91489.32,SUCCESS,Gateway_B
PG25357455,TX0000025,Priya Mishra,priya.mishra867@hotmail.com,2026-08-11,55881.2,FAILED,Gateway_A
PG81710775,TX0000026,Karan Kapoor,karan.kapoor501@hotmail.com,2026-08-10,9431.78,SUCCESS,Gateway_C
PG63925308,TX0000027,Ananya Reddy,ananya.reddy676@outlook.com,2026-08-09,44853.15,FAILED,Gateway_A
PG84142785,TX0000028,Nikhil Sharma,nikhil.sharma286@hotmail.com,2026-08-28,4356.47,SUCCESS,Gateway_B
PG28342551,TX0000029,Arjun Mehta,arjun.mehta873@outlook.com,2026-08-29,19966.98,SUCCESS,Gateway_A
PG70834573,TX0000030,Vikram Kapoor,vikram.kapoor128@hotmail.com,2026-08-01,39177.78,SUCCESS,Gateway_B
PG59190960,TX0000031,Aditya Das,aditya.das325@yahoo.com,2026-08-06,90393.24,FAILED,Gateway_B
PG66297047,TX0000032,Neha Singh,neha.singh304@hotmail.com,2026-08-31,47731.81,SUCCESS,Gateway_A
PG81592480,TX0000033,Vikram Mehta,vikram.mehta889@gmail.com,2026-08-19,59417.62,SUCCESS,Gateway_A
PG81145792,TX0000034,Priya Iyer,priya.iyer494@hotmail.com,2026-08-24,104956.73,SUCCESS,Gateway_A
PG70481778,TX0000035,Priya Reddy,priya.reddy202@gmail.com,2026-08-09,40324.54,SUCCESS,Gateway_C
PG92432631,TX0000036,Arjun Das,arjun.das81@gmail.com,2026-08-18,1612.85,SUCCESS,Gateway_B
PG31529950,TX0000037,Vikram Sharma,vikram.sharma794@gmail.com,2026-08-19,98291.4,SUCCESS,Gateway_C
PG65332480,TX0000038,Arjun Iyer,arjun.iyer572@outlook.com,2026-08-19,23820.78,SUCCESS,Gateway_C
PG76005961,TX0000039,Meera Reddy,meera.reddy737@gmail.com,2026-08-04,44218.1,SUCCESS,Gateway_C
PG26188572,TX0000041,Nikhil Kapoor,nikhil.kapoor114@yahoo.com,2026-08-14,14297.09,FAILED,Gateway_A
PG27473985,TX0000042,Amit Mishra,amit.mishra493@outlook.com,2026-08-04,45926.07,SUCCESS,Gateway_C
PG80305072,TX0000043,Ananya Mishra,ananya.mishra273@yahoo.com,2026-08-26,88166.63,FAILED,Gateway_B
PG44001104,TX0000044,Neha Gupta,neha.gupta674@outlook.com,2026-08-23,44560.67,SUCCESS,Gateway_B
PG78621534,TX0000045,Aditya Gupta,aditya.gupta31@gmail.com,2026-08-03,15969.1,SUCCESS,Gateway_C
PG45287945,TX0000046,Meera Kumar,meera.kumar786@hotmail.com,2026-08-17,90024.12,FAILED,Gateway_B
PG94718201,TX0000047,Pooja Rao,pooja.rao757@outlook.com,2026-08-01,56364.08,SUCCESS,Gateway_B
PG80469937,TX0000048,Pooja Rao,pooja.rao164@gmail.com,2026-08-13,85560.86,SUCCESS,Gateway_B
PG26514128,TX0000049,Amit Mishra,amit.mishra711@gmail.com,2026-08-12,45045.48,SUCCESS,Gateway_C
PG10397223,TX0000050,Sneha Kapoor,sneha.kapoor827@yahoo.com,2026-08-20,104401.4,FAILED,Gateway_A
